ID;Name;MeanCrop;CorMeanCrop;DevFB;Rank;Wet;StoFrep1;StoFrep2;Hrep1;Hrep2;Dis%BasRot;Dis%WhRot;Dis%CrRot;EvRestrep1;EvRustrep2;RstGrrep1;RstGrrep2;OilCrop(%);OilCrop(cwt/ha); EvStem;EvTotal;OleicAcid%;Comments
1;BRIO;46.71;47.82;0;2;12.54;76;;200;;;;;;;;;;;;;;
2;AM08*X*RL42(TUNIKA);32.38;33.38;-14.44;35;6.46;71;;195;;;;;;;;;;;;;;
3;AM08*X*R10/-1231;43.55;43.33;-4.49;5;10.33;73;;190;;;;;;;;;;;;;;
4;AM08*X*RCM//R6-6312;34.82;35.03;-12.78;24;7.36;75;;210;;;;;;;;;;;;;;
5;AM08*X*R1;35.91;36.13;-11.69;16;13.77;75;;190;;;;;;;;;;;;;;
6;AM08*X*Rdlf;34.3;34.07;-13.75;29;10.82;74;;205;;;;;;;;;;;;;;
7;AHO33X4K738/R6-1211;26.24;26.46;-21.36;84;15.01;80;;210;;;;;;;;;;;;;;
8;AHO33*X*4K738/R6-4111;37.69;36.46;-11.36;14;9.26;80;;190;;;;;;;;;;;;;;
9;AHO33XRCM//R6-8211;21.68;24.68;-23.13;93;6.93;79;;200;;;;;;;;;;;;;;
10;AHO33XR1;44.8;44.8;-3.02;3;12.13;77;;205;;;;;;;;;;;;;;
11;AHO33XR-dlf;33.92;34.91;-12.91;25;14.27;75;;210;;;;;;;;;;;;;;
12;AHO33XR-fob;50.2;49.19;1.38;1;14.93;79;;225;;;;;;;;;;;;;;
13;AP83*X*R1;37.32;35.98;-11.83;17;17.36;77;;210;;;;;;;;;;;;;;
14;AM32/36*X*R-dlf;35.72;34.6;-13.22;26;11.19;76;;195;;;;;;;;;;;;;;
15;AM32/36*X*R1;29.28;29.61;-18.21;61;10.58;79;;200;;;;;;;;;;;;;;
16;AM32/36*X*R-fob;30.27;28.93;-18.88;68;18.25;81;;235;;;;;;;;;;;;;;
17;AM32/36*X*RF12;29.12;29.45;-18.37;62;13.68;81;;215;;;;;;;;;;;;;;
18;AM40X4K738/R6-821;18.91;20.02;-27.8;113;8.48;78;;215;;;;;;;;;;;;;;
19;AM08*X*RCM///R6-3121;25.11;24.54;-23.27;94;7.13;76;;205;;;;;;;;;;;;;;
20;AM08*X*4K738/R6-4111;25.43;25.98;-21.84;89;8.91;77;;205;;;;;;;;;;;;;;
21;AM40XRCM//R6-8211;10.41;11.07;-36.74;117;5.27;77;;200;;;;;;;;;;;;;;
22;AM40X RCM////R6-3313;23.99;23.2;-24.61;100;8.28;76;;195;;;;;;;;;;;;;;
23;DELFI;38.89;39.66;-8.16;7;9.96;75;;205;;;;;;;;;;;;;;
24;AHO33*X*RCM//R6-6312;26.63;25.4;-22.42;90;8.22;77;;210;;;;;;;;;;;;;;
25;AM40/08*X*RL42;29.4;29.95;-17.86;59;9.61;73;;210;;;;;;;;;;;;;;
26;AHO33XRS65//RM02(?)25-22-1;30.88;31.55;-16.27;49;9.63;77;;195;;;;;;;;;;;;;;
27;AMHO33XR08///608-2121;23.45;23.44;-24.38;99;6.01;76;;195;;;;;;;;;;;;;;
28;AHO33 XS2BC2RCM//R6-23;26.5;26.17;-21.65;87;7.59;80;;200;;;;;;;;;;;;;;
29;AHO33*X*RS65//RM02?25-14-2;23.04;23.04;-24.78;101;7.62;75;;200;;;;;;;;;;;;;;
30;AHO33*X*RM02XRS65/R6-14-21;22;21.55;-26.27;104;10.63;80;;205;;;;;;;;;;;;;;
31;AHO33*X*RF12;35.84;35.62;-12.2;19;12.55;79;;210;;;;;;;;;;;;;;
32;AHO33*X*R-fob;34.51;33.39;-14.42;34;11.03;79;;200;;;;;;;;;;;;;;
33;AHO33*X*RP4;29.55;27.99;-19.83;75;10.06;76;;190;;;;;;;;;;;;;;
34;AHO33*X*RCM///R6-3312;21.13;20.34;-27.48;111;6.68;77;;195;;;;;;;;;;;;;;
35;AM32/36 XRCM///R6-3312;29.03;28.8;-19.01;69;8.27;78;;220;;;;;;;;;;;;;;
36;AM32/36 XRCM//R6-6312;25.36;24.13;-23.68;97;9.84;79;;220;;;;;;;;;;;;;;
37;AM32/36*X*RP4;31.33;30.21;-17.61;56;17.84;79;;190;;;;;;;;;;;;;;
38;AP83*X*R1;36.12;35.11;-12.71;23;13.28;77;;195;;;;;;;;;;;;;;
39;AP83*X*RL42;29.54;28.76;-19.06;70;7.62;73;;175;;;;;;;;;;;;;;
40;MAHAON_KLP;33.38;32.77;-15.05;37;11.17;75;75;175;170;;;;;;;;;;;;;
41;DAJA_KLP;27.84;29.12;-18.7;65;6.845;74;75;185;175;;;;;;;;;;;;;
42;AM08CLP*X*R4CLP;27.75;28.52;-19.3;73;10.465;75;75;195;205;;;;;;;;;;;;;
43;AM32CLP*X*R4CLP;30.09;29.02;-18.8;66;9.495;77;76;205;200;;;;;;;;;;;;;
44;AM08CLP*X*R-el;20.65;21.04;-26.78;107;10.08;77;79;185;185;;;;;;;;;;;;;
45;AM32CLP*X*;38.47;38.35;-9.47;9;11.495;77;78;190;200;;;;;;;;;;;;;
46;ACL*X*R-el;33.87;33.75;-14.07;32;15.675;76;76;195;195;;;;;;;;;;;;;
47;AM08*X*R-el;28.77;28.71;-19.11;71;11.405;75;73;195;180;;;;;;;;;;;;;
48;AH033*X*R-el;29.92;29.25;-18.57;64;7.85;76;77;180;175;;;;;;;;;;;;;
49;AP83*X*R-el;31.29;32.01;-15.81;43;7.555;76;76;185;185;;;;;;;;;;;;;
50;AM32/36 R-el;34.32;34.26;-13.56;28;11.275;77;78;190;210;;;;;;;;;;;;;
51;AM08CLP-21*X*RC61CLP41(E);32.71;32.15;-15.67;41;8.98;73;75;195;200;;;;;;;;;;;;;
52;AM08CLP-21*X*RC61CLP131;27.06;26.28;-21.54;86;6.365;72;74;195;200;;;;;;;;;;;;;
53;AM08CLP-21*X*R10CLP-1131;33;32.16;-15.66;40;7.47;73;74;195;195;;;;;;;;;;;;;
54;AHO33CLP-31*X*RS65HOCLP-111;35.58;35.24;-12.58;22;14.24;76;77;205;200;;;;;;;;;;;;;
55;AHO33CLP-31*X*RS65HOCLP-311;34.47;33.85;-13.97;31;11.265;76;77;200;205;;;;;;;;;;;;;
56;AHO33CLP-31*X*RC61CLP41(E);32.22;31.55;-16.27;48;12.725;77;77;205;205;;;;;;;;;;;;;
57;AHO33CLP-31*X*RC61CLP131;28.22;27.38;-20.44;78;8.29;75;75;195;215;;;;;;;;;;;;;
58;AHO33CLP-31*X*RU73CLP-111;37.22;36.72;-11.1;11;10.035;77;79;230;210;;;;;;;;;;;;;
59;AHO33CLP-31*X*RU73CLP-311;31.65;30.42;-17.4;53;14.15;80;79;215;205;;;;;;;;;;;;;
60;AHO33CLP-31*X*R4CLP;20.06;19.44;-28.38;114;8.955;80;81;203;225;;;;;;;;;;;;;
61;AHO33CLP-31*X*RM02CLP-3121;25.58;25.02;-22.8;92;9.59;76;77;190;180;;;;;;;;;;;;;
62;AM32CLP/BH033CLP-31*X*RS65HOCLP-111;34.53;33.58;-14.23;33;8.11;75;75;200;195;;;;;;;;;;;;;
63;AM32CLP/BH033CLP-31*X*RS65HOCLP-311;36.29;35.73;-12.09;18;8;75;75;210;180;;;;;;;;;;;;;
64;AM32CLP/BH033CLP-31*X*RC61CLP41(E);36.25;36.13;-11.69;15;10.12;75;75;220;195;;;;;;;;;;;;;
65;AM32CLP/BH033CLP-31*X*RC61CLP131;32.19;32.74;-15.08;38;8.745;74;75;220;190;;;;;;;;;;;;;
66;AM32CLP/BH033CLP-31*X*RU73CLP-111;33.1;31.99;-15.83;44;9.94;76;76;210;215;;;;;;;;;;;;;
67;AM32CLP/BH033CLP-31*X*RU73CLP-311;33.31;31.8;-16.02;45;11.38;77;76;210;195;;;;;;;;;;;;;
68;AM32CLP/BH033CLP-31*X*R4CLP;22.8;21.24;-26.58;106;6.735;77;77;205;190;;;;;;;;;;;;;
69;AM32CLP/BH033CLP-31*X*RM02CLP-3121;26.96;25.34;-22.48;91;9.145;75;75;190;175;;;;;;;;;;;;;
70;AH078CLP*X*RS65HOCLP-111;28.63;28.02;-19.8;74;11.825;76;77;195;175;;;;;;;;;;;;;
71;AH078CLP*X*RS65HOCLP-311;25.62;24.28;-23.54;96;8.565;75;75;175;170;;;;;;;;;;;;;
72;Aexp50*X*Rexp;36.01;34.06;-13.76;30;15.32;75;73;185;190;;;;;;;;;;;;;
73;Aexp100*X*Rexp;24.18;23.51;-24.31;98;11.26;75;76;190;190;;;;;;;;;;;;;
74;AM08*X*Rexp;24.21;24.54;-23.27;95;11.15;74;75;185;175;;;;;;;;;;;;;
75;AM40*X*Rexp;21.31;20.63;-27.19;110;7.675;76;76;185;185;;;;;;;;;;;;;
76;AM40*X*Rexp;14.06;15.22;-32.6;116;7.63;77;77;175;175;;;;;;;;;;;;;
77;AH033*X*Rexp;28.97;27.69;-20.13;76;10.625;77;78;180;175;;;;;;;;;;;;;
78;AH033*X*Rexp;15.48;20.98;-26.83;108;16.17;77;80;185;175;;;;;;;;;;;;;
79;AC47/42*X*Rexp;30.29;30.96;-16.86;52;7.335;70;72;190;170;;;;;;;;;;;;;
80;AM32/36*X* Rexp;39.25;38.74;-9.08;8;16.165;77;76;185;180;;;;;;;;;;;;;
81;AM08/40*X*Rexp;21.09;20.92;-26.9;109;7.725;75;76;180;170;;;;;;;;;;;;;
82;AP83*X*Rexp;24.79;26.01;-21.81;88;6.78;77;77;195;180;;;;;;;;;;;;;
83;AM32/36*X*Rexp;31.75;31.63;-16.19;47;18.39;76;78;205;180;;;;;;;;;;;;;
84;BOSFOR;36.8;37.8;-10.02;10;6.715;70;71;185;180;;;;;;;;;;;;;
85;AM08*X*9758R;26.15;26.37;-21.45;85;9.01;75;74;185;190;;;;;;;;;;;;;
86;AM08*X*9702R;26.19;27.02;-20.8;80;7.64;71;74;195;175;;;;;;;;;;;;;
87;AM08*X*RL42;30.56;32.12;-15.7;42;6.515;72;73;210;180;;;;;;;;;;;;;
88;AM08*X*P64-3331;34.98;35.53;-12.28;20;10.705;72;72;200;200;;;;;;;;;;;;;
89;AM08*X*P64-3332;35.56;36.51;-11.31;13;11.575;71;72;210;190;;;;;;;;;;;;;
90;AM08*X*P64-C16-21;28.98;30.04;-17.78;58;10.285;73;75;205;190;;;;;;;;;;;;;
91;AM08*X*P64-C38-21;27.17;27.44;-20.38;77;6.18;73;74;200;180;;;;;;;;;;;;;
92;AM08*X*P64-C14-21;22.34;22.44;-25.37;103;6.76;73;73;215;195;;;;;;;;;;;;;
93;AM08*X*P64-C14-21C2;28.19;29.41;-18.41;63;12.605;73;74;215;195;;;;;;;;;;;;;
94;AM08*X*P64-C14-21C1;29.61;30.05;-17.77;57;12.95;74;74;205;195;;;;;;;;;;;;;
95;AM08*X*P64-C16-2112;25.6;26.77;-21.05;83;8.99;74;75;200;185;;;;;;;;;;;;;
96;AHO33*X*9758R;18.63;18.46;-29.36;115;7.115;75;75;0.2;180;;;;;;;;;;;;;
97;AHO33*X*RL42;20.73;22.57;-25.25;102;6.6;75;75;175;170;;;;;;;;;;;;;
98;AHO33*X*P64-C12-313;26.25;26.8;-21.02;82;6.695;75;75;190;185;;;;;;;;;;;;;
99;AHO33*X*P64-2215;30.5;31.28;-16.54;51;7.635;75;76;180;195;;;;;;;;;;;;;
100;AHO33*X*P64-2116;17.28;20.06;-27.76;112;5.275;78;77;190;175;;;;;;;;;;;;;
101;AHO33*X*P64-C14-21C1;30.83;31.38;-16.43;50;10.79;78;78;195;195;;;;;;;;;;;;;
102;AHO33*X*P64-C16-2112;29.52;29.62;-18.19;60;10.165;78;78;195;195;;;;;;;;;;;;;
103;AHO33*X*RK8505/P64-123;28.4;28.95;-18.87;67;7.05;74;76;200;185;;;;;;;;;;;;;
104;AM32/36*X*9758R;33.29;33.12;-14.7;36;9.305;78;78;200;215;;;;;;;;;;;;;
105;AM32/36*X*RL42;34.28;34.39;-13.43;27;8.91;71;75;205;185;;;;;;;;;;;;;
106;AM32/36*X*P64C12-312;30.39;30.28;-17.54;55;8.265;76;76;225;205;;;;;;;;;;;;;
107;AM32/36*X*P64C12-313;29.86;30.36;-17.46;54;8.2;76;77;205;190;;;;;;;;;;;;;
108;AM32/36*X*H64-C38-21;34.48;35.31;-12.51;21;6.62;74;75;195;210;;;;;;;;;;;;;
109;AM32/36*X*P64-333-212;37.38;36.54;-11.28;12;7.82;74;74;205;185;;;;;;;;;;;;;
110;AM32/36*X*P64/KR232-6211;39.87;40.59;-7.23;6;10.645;75;75;205;185;;;;;;;;;;;;;
111;AM32/36*X*P64-C24-211;26.76;27.15;-20.67;79;6.87;75;75;180;175;;;;;;;;;;;;;
112;AM32/36*X*P64/KR232-6231;44.34;43.44;-4.38;4;8.31;75;75;180;175;;;;;;;;;;;;;
113;AHO33*X*P64/KR232-6231;31.09;32.19;-15.62;39;8.75;;76;;185;;;;;;;;;;;;;
114;AM32/36*X*P64-C12-31C;27.42;26.97;-20.85;81;8.28;;76;;190;;;;;;;;;;;;;
115;OLIVER;32.64;31.64;-16.18;46;9.16;;77;;175;;;;;;;;;;;;;
116;OLIMP;28.89;28.55;-19.27;72;10.88;;76;;185;;;;;;;;;;;;;
117;AH033*X*RDW;20.15;21.37;-26.45;105;7.38;;77;;185;;;;;;;;;;;;;
118;AP83*X*RDW;9.74;10.96;-36.86;118;6.71;;76;;160;;;;;;;;;;;;;
