ID,Name,MeanCrop,CorMeanCrop,DevFB,Rank,Wet,StoFrep1,StoFrep2,Hrep1,Hrep2,Dis%BasRot,Dis%WhRot,Dis%CrRot,EvRestrep1,EvRustrep2,RstGrrep1,RstGrrep2,OilCrop(%),OilCrop(cwt/ha), EvStem,EvTotal,OleicAcid%,Comments
1,SVETOCH*X*MERCUL,16.20,21.69,-16.08,28,5.5,66,,,,,,,,,,,50.1,10.9,,,33,
2,SVETOCH*X*BARUH,23.69,27.42,-10.36,22,5.45,66,,,,,,,,,,,49.55,13.6,,,34,
3,SVETOCH*X*TUPIN,22.72,27.68,-10.09,21,5.6,67,,,,,,,,,,,46.93,13.0,,,31,
4,SVETLANA*X*NIVA,31.62,34.47,-3.31,8,5.65,71,,,,,,,,,,,46.61,16.1,,,29,
5,SVETLANAt*X*BURUH,29.73,32.75,-5.03,13,5.75,70,,,,,,,,,,,47.44,15.5,,,29,
6,NORD*X*LUNEV,34.48,30.96,-6.81,17,5.5,71,,,,,,,,,,,46.7,14.5,,,35,
7,PREMIER*X*ZMENSK,29.08,30.69,-7.09,18,5.5,71,,,,,,,,,,,48.87,15.0,,,29,
8,MAHAON*X*KOLOS,40.94,37.78,0.00,3,6.4,72,,,,,,,,,,,45.74,17.3,,,45,
9,MAHAON_KLP*X*CHALIY,25.64,26.37,-11.41,23,5.9,74,,,,,,,,,,,44.87,11.8,,,35,
10,DAYA*X*CUB.AT,34.93,33.01,-4.77,12,7.05,74,,,,,,,,,,,41.85,13.8,,,38,
11,DAYA_KLP*X*ADIG,21.62,25.53,-12.25,25,5.85,75,,,,,,,,,,,43.94,11.2,,,38,
12,DAYA_KLP*X*LGOV,25.27,25.11,-12.66,27,5.75,75,,,,,,,,,,,42.02,10.6,,,38,
13,LUBO*X*GLADKYH,35.80,36.35,-1.43,4,5.85,72,,,,,,,,,,,42.07,15.3,,,44,
14,NADEJDA*X*AKS_NIVA,28.27,26.00,-11.78,24,6.1,73,,,,,,,,,,,41.98,10.9,,,46,
15,NADEJDA*X*AKS_NIVA,28.11,25.30,-12.47,26,5.95,73,,,,,,,,,,,43.41,11.0,,,48,
16,NADEJDA*X*DINAMO,30.98,30.12,-7.66,19,5.7,73,,,,,,,,,,,42.43,12.8,,,46,
17,OLIVER*X*KUB.AT,38.17,35.54,-2.23,5,5.6,75,,,,,,,,,,,50.29,17.9,,,76,
18,OLIMP*X*BUKIR,41.86,39.23,1.45,1,5.95,74,,,,,,,,,,,48.71,19.1,,,85,
19,ORPHEUS*X*MAX,29.69,28.48,-9.30,20,5.85,73,,,,,,,,,,,45.48,13.0,,,66,
20,АНО33*X*9758R,31.62,32.52,-5.25,14,5.65,73,,,,,,,,,,,44.29,14.4,,,50,
21,ORACUL58*X*MAX,33.14,31.75,-6.03,16,6.05,72,,,,,,,,,,,43.36,13.8,,,41,
22,ANUTA_ОР*X*BERDISH,40.63,38.88,1.10,2,5.45,72,,,,,,,,,,,47.76,18.6,,,44,
23,ANUTA_ОР*X*BOGACH,34.45,35.35,-2.42,6,5.85,73,,,,,,,,,,,46.4,16.4,,,41,
24,VULKAN08ОР*X*BERDISH,33.71,34.79,-2.99,7,5.9,72,,,,,,,,,,,42.27,14.7,,,43,
25,VULKAN36ОР*X*BERDISH,35.69,33.24,-4.54,10,5.85,72,,,,,,,,,,,46.76,15.5,,,44,
26,AM08*X*RL42,34.01,33.14,-4.63,11,5.65,70,,,,,,,,,,,43.51,14.4,,,42,
27,AM40/08*X*RL42,33.64,31.90,-5.88,15,5.8,71,,,,,,,,,,,45.57,14.5,,,43,
28,AM32/33CLP*X*RL42,33.87,33.54,-4.24,9,5.45,73,,,,,,,,,,,47.49,15.9,,,44,
